Localidad,Codigo UTA 2020,Codigo UTA 2010,Latitud,Longitud,Municipio,Departamento,Provincia
VILLA SANTOS TESEI,064080408010002,064080408010002,-34.61239445,-58.65381037,HURLINGHAM,HURLINGHAM,BUENOS AIRES
HURLINGHAM,064080408010001,064080408010001,-34.59309314,-58.63572095,HURLINGHAM,HURLINGHAM,BUENOS AIRES
WILLIAM C. MORRIS,064080408010003,064080408010003,-34.58156228,-58.65830054,HURLINGHAM,HURLINGHAM,BUENOS AIRES
EL ARBOLITO,061750175020000,061750175020000,-33.9147838,-60.94380819,COLON,COLON,BUENOS AIRES
LOS BARRILES,061750175000009,061750175000009,-33.9462889,-61.2276668,COLON,COLON,BUENOS AIRES
COLONIA LA PERLA,061750175000004,061750175000004,-33.97042426,-61.07620535,COLON,COLON,BUENOS AIRES
SARASA,061750175040000,061750175040000,-34.05233531,-61.20190409,COLON,COLON,BUENOS AIRES
PEARSON,061750175030000,061750175030000,-33.6518963,-60.89222399,COLON,COLON,BUENOS AIRES
COLON,061750175010000,061750175010000,-33.89786336,-61.09956051,COLON,COLON,BUENOS AIRES
KILOMETRO 404,060840084000007,060840084000007,-37.6438,-59.8529,BENITO JUAREZ,BENITO JUAREZ,BUENOS AIRES
VILLA CACIQUE,060840084050000,060840084050000,-37.67047789,-59.40035334,BENITO JUAREZ,BENITO JUAREZ,BUENOS AIRES
EL SAUCE,060840084000005,060840084000005,-37.66079712,-59.56612397,BENITO JUAREZ,BENITO JUAREZ,BUENOS AIRES
BARKER,060840084010000,060840084010000,-37.64241113,-59.38893803,BENITO JUAREZ,BENITO JUAREZ,BUENOS AIRES
BENITO JUAREZ,060840084020000,060840084020000,-37.67664102,-59.80576771,BENITO JUAREZ,BENITO JUAREZ,BUENOS AIRES
CORONEL RODOLFO BUNGE,060840084000003,060840084000003,-37.5763984,-60.1392005,BENITO JUAREZ,BENITO JUAREZ,BUENOS AIRES
LOPEZ,060840084030000,060840084030000,-37.55451209,-59.62784615,BENITO JUAREZ,BENITO JUAREZ,BUENOS AIRES
SAN ANTONIO,060840084000017,060840084000017,-37.74727631,-59.81640244,BENITO JUAREZ,BENITO JUAREZ,BUENOS AIRES
EL LUCHADOR,060840084000004,060840084000004,-37.3214623,-60.292086,BENITO JUAREZ,BENITO JUAREZ,BUENOS AIRES
LA TINTA,060840084000011,060840084000011,-37.60838699,-59.51456452,BENITO JUAREZ,BENITO JUAREZ,BUENOS AIRES
TEDIN URIBURU,060840084040000,060840084040000,-37.36836863,-59.76303916,BENITO JUAREZ,BENITO JUAREZ,BUENOS AIRES
CRUCE MUÑOZ,065950595000012,065950595000012,-37.1820692,-60.6463365,OLAVARRIA,OLAVARRIA,BUENOS AIRES
VILLA ALFREDO FORTABAT,065950595120000,065950595120000,-36.98027146,-60.27908284,OLAVARRIA,OLAVARRIA,BUENOS AIRES
CUARTEL II - AEROPUERTO,065950595000013,065950595000013,-36.9138115,-60.2275544,OLAVARRIA,OLAVARRIA,BUENOS AIRES
ESPIGAS,065950595050000,065950595050000,-36.41227324,-60.67306947,OLAVARRIA,OLAVARRIA,BUENOS AIRES
RECALDE,065950595080000,065950595080000,-36.65150162,-61.08450403,OLAVARRIA,OLAVARRIA,BUENOS AIRES
CAMPO ELSSIRY,065950595000006,065950595000006,-37.28472315,-60.34275563,OLAVARRIA,OLAVARRIA,BUENOS AIRES
EL PORVENIR,065950595000016,065950595000016,-36.5143954,-60.5474023,OLAVARRIA,OLAVARRIA,BUENOS AIRES
SIERRAS BAYAS,065950595110001,065950595110001,-36.92252382,-60.21579254,OLAVARRIA,OLAVARRIA,BUENOS AIRES
OLAVARRIA,065950595070000,065950595070000,-36.89209358,-60.31800466,OLAVARRIA,OLAVARRIA,BUENOS AIRES
CHACRAS DE PIBUEL,065950595000010,065950595000010,-36.90814079,-60.36517613,OLAVARRIA,OLAVARRIA,BUENOS AIRES
VIRGEN DE LA LOMA,065950595000057,065950595000057,-36.8185482,-60.385061,OLAVARRIA,OLAVARRIA,BUENOS AIRES
SAN PEDRO,065950595000048,065950595000048,-36.7927946,-60.6360127,OLAVARRIA,OLAVARRIA,BUENOS AIRES
CALERA AVELLANEDA,065950595000004,065950595000004,-36.98256235,-60.24344894,OLAVARRIA,OLAVARRIA,BUENOS AIRES
EL MIRADOR,065950595000015,065950595000015,-36.81259918,-60.35093689,OLAVARRIA,OLAVARRIA,BUENOS AIRES
SAN QUILCO,065950595000049,065950595000049,-37.0438314,-61.1407248,OLAVARRIA,OLAVARRIA,BUENOS AIRES
COLONIA SAN MIGUEL,065950595040000,065950595040000,-36.94956598,-60.11089541,OLAVARRIA,OLAVARRIA,BUENOS AIRES
SIERRA CHICA,065950595100000,065950595100000,-36.84323822,-60.22342714,OLAVARRIA,OLAVARRIA,BUENOS AIRES
LAS PIEDRITAS,065950595000035,065950595000035,-36.7335474,-60.5955954,OLAVARRIA,OLAVARRIA,BUENOS AIRES
VILLA LA SERRANIA,065950595130000,065950595130000,-36.99036321,-60.31080812,OLAVARRIA,OLAVARRIA,BUENOS AIRES
ITURREGUI,065950595000020,065950595000020,-36.8293322,-61.1255567,OLAVARRIA,OLAVARRIA,BUENOS AIRES
VILLA MONICA,065950595000055,065950595000055,-36.8993962,-60.1455471,OLAVARRIA,OLAVARRIA,BUENOS AIRES
BLANCAGRANDE,065950595010000,065950595010000,-36.53288871,-60.88245491,OLAVARRIA,OLAVARRIA,BUENOS AIRES
CERRO SOTUYO,065950595000009,065950595000009,-36.96120198,-60.10082793,OLAVARRIA,OLAVARRIA,BUENOS AIRES
COLONIA HINOJO,065950595060001,065950595060001,-36.88006945,-60.1780553,OLAVARRIA,OLAVARRIA,BUENOS AIRES
MAPIS,065950595000038,065950595000038,-36.7705364,-61.2818613,OLAVARRIA,OLAVARRIA,BUENOS AIRES
CAMPO BELGRANO,065950595000005,065950595000005,-36.7250646,-60.276205,OLAVARRIA,OLAVARRIA,BUENOS AIRES
VILLA ARRIETA,065950595110002,065950595110002,-36.94366054,-60.15782718,OLAVARRIA,OLAVARRIA,BUENOS AIRES
BLANCA CHICA,065950595000002,065950595000002,-36.8410918,-60.4478581,OLAVARRIA,OLAVARRIA,BUENOS AIRES
SAN GREGORIO,065950595000044,065950595000044,-36.7044536,-60.4280269,OLAVARRIA,OLAVARRIA,BUENOS AIRES
ROCHA,065950595000041,065950595000041,-37.14576871,-60.9774844,OLAVARRIA,OLAVARRIA,BUENOS AIRES
HINOJO,065950595060002,065950595060002,-36.8758996,-60.14731969,OLAVARRIA,OLAVARRIA,BUENOS AIRES
COLONIA NIEVAS,065950595030000,065950595030000,-36.86413703,-60.08164247,OLAVARRIA,OLAVARRIA,BUENOS AIRES
LA PARDA,065950595000029,065950595000029,-36.6551192,-60.7438976,OLAVARRIA,OLAVARRIA,BUENOS AIRES
SAN JACINTO,065950595000045,065950595000045,-36.9661162,-60.2584252,OLAVARRIA,OLAVARRIA,BUENOS AIRES
LA PROVIDENCIA,065950595000032,065950595000032,-37.0009645,-60.1886992,OLAVARRIA,OLAVARRIA,BUENOS AIRES
SANTA LUISA,065950595090000,065950595090000,-37.12896537,-60.40993039,OLAVARRIA,OLAVARRIA,BUENOS AIRES
POURTALE,065950595000039,065950595000039,-36.97264698,-60.43630862,OLAVARRIA,OLAVARRIA,BUENOS AIRES
LA MODERNA,065950595000025,065950595000025,-36.977116,-60.9859857,OLAVARRIA,OLAVARRIA,BUENOS AIRES
SAN ANTONIO,065950595000043,065950595000043,-36.6721853,-60.5713249,OLAVARRIA,OLAVARRIA,BUENOS AIRES
LA CARMELITA,065950595000022,065950595000022,-36.48106076,-60.81484788,OLAVARRIA,OLAVARRIA,BUENOS AIRES
LOS CHILENOS,065950595000037,065950595000037,-36.9332836,-60.721619,OLAVARRIA,OLAVARRIA,BUENOS AIRES
CAMPO STRIEBECK,065950595000007,065950595000007,-36.79628188,-60.31172109,OLAVARRIA,OLAVARRIA,BUENOS AIRES
ADROGUE,060280028010001,060280028010001,-34.80155807,-58.39146772,ALMIRANTE BROWN,ALMIRANTE BROWN,BUENOS AIRES
JOSE MARMOL,060280028010006,060280028010006,-34.78514425,-58.36814756,ALMIRANTE BROWN,ALMIRANTE BROWN,BUENOS AIRES
SAN JOSE,060280028010012,060280028010012,-34.76737719,-58.34327714,ALMIRANTE BROWN,ALMIRANTE BROWN,BUENOS AIRES
RAFAEL CALZADA,060280028010010,060280028010010,-34.79113675,-58.35059818,ALMIRANTE BROWN,ALMIRANTE BROWN,BUENOS AIRES
CLAYPOLE,060280028010003,060280028010003,-34.80447591,-58.34478255,ALMIRANTE BROWN,ALMIRANTE BROWN,BUENOS AIRES
MINISTRO RIVADAVIA,060280028010009,060280028010009,-34.8556895,-58.36164654,ALMIRANTE BROWN,ALMIRANTE BROWN,BUENOS AIRES
BURZACO,060280028010002,060280028010002,-34.83154159,-58.39868749,ALMIRANTE BROWN,ALMIRANTE BROWN,BUENOS AIRES
MALVINAS ARGENTINAS,060280028010008,060280028010008,-34.81895832,-58.42356106,ALMIRANTE BROWN,ALMIRANTE BROWN,BUENOS AIRES
GLEW,060280028010005,060280028010005,-34.88601142,-58.38183018,ALMIRANTE BROWN,ALMIRANTE BROWN,BUENOS AIRES
LONGCHAMPS,060280028010007,060280028010007,-34.86094503,-58.38914769,ALMIRANTE BROWN,ALMIRANTE BROWN,BUENOS AIRES
DON ORIONE,060280028010004,060280028010004,-34.82107516,-58.3447458,ALMIRANTE BROWN,ALMIRANTE BROWN,BUENOS AIRES
SAN FRANCISCO SOLANO,060280028010011,060280028010011,-34.78667436,-58.32193635,ALMIRANTE BROWN,ALMIRANTE BROWN,BUENOS AIRES
TORTUGUITAS,064120412010003,064120412010003,-34.4918484,-58.78637803,JOSE C PAZ,JOSE C PAZ,BUENOS AIRES
DEL VISO,064120412010001,064120412010001,-34.4804958,-58.8042589,JOSE C PAZ,JOSE C PAZ,BUENOS AIRES
JOSE C. PAZ,064120412010002,064120412010002,-34.5211612,-58.77088111,JOSE C PAZ,JOSE C PAZ,BUENOS AIRES
LA VIGIA,066860686000018,066860686000018,-34.3064955,-60.6245184,ROJAS,ROJAS,BUENOS AIRES
LA VUELTA,066860686000019,066860686000019,-34.3166668,-60.7466182,ROJAS,ROJAS,BUENOS AIRES
ROBERTO CANO,066860686050000,066860686050000,-34.08765152,-60.6672564,ROJAS,ROJAS,BUENOS AIRES
SANTA FELISA,066860686000028,066860686000028,-34.2870114,-60.6908135,ROJAS,ROJAS,BUENOS AIRES
LA SOLEDAD,066860686000014,066860686000014,-34.307846,-61.0004538,ROJAS,ROJAS,BUENOS AIRES
LA CALDERA,066860686000007,066860686000007,-34.18149567,-60.79748154,ROJAS,ROJAS,BUENOS AIRES
LOS INDIOS,066860686030000,066860686030000,-34.37356961,-60.65237103,ROJAS,ROJAS,BUENOS AIRES
LA CONCEPCION,066860686000008,066860686000008,-34.20364677,-60.95285202,ROJAS,ROJAS,BUENOS AIRES
LA ROJERA,066860686000012,066860686000012,-34.1578906,-60.7016991,ROJAS,ROJAS,BUENOS AIRES
LA BEBA,066860686010000,066860686010000,-34.15443879,-61.01287112,ROJAS,ROJAS,BUENOS AIRES
BARRIO LAS MARGARITAS,066860686060001,066860686060001,-34.19323742,-60.6820265,ROJAS,ROJAS,BUENOS AIRES
LAS CARABELAS,066860686020000,066860686020000,-34.03810027,-60.86852642,ROJAS,ROJAS,BUENOS AIRES
LAS POLVAREDAS,066860686000021,066860686000021,-34.1614703,-60.6092371,ROJAS,ROJAS,BUENOS AIRES
LA VUELTA CHICA,066860686000020,066860686000020,-34.35242462,-60.7453537,ROJAS,ROJAS,BUENOS AIRES
HUNTER,066860686000004,066860686000004,-34.2433108,-60.532499,ROJAS,ROJAS,BUENOS AIRES
VILLA MANUEL POMAR,066860686080000,066860686080000,-33.91595088,-60.93793802,ROJAS,ROJAS,BUENOS AIRES
LA TIGRA,066860686000015,066860686000015,-34.00621414,-60.98638916,ROJAS,ROJAS,BUENOS AIRES
ROJAS,066860686060002,066860686060002,-34.18722923,-60.71794119,ROJAS,ROJAS,BUENOS AIRES
ESTACION SOL DE MAYO,066860686070000,066860686070000,-34.26894485,-60.87177734,ROJAS,ROJAS,BUENOS AIRES
RAFAEL OBLIGADO,066860686040000,066860686040000,-34.35881325,-60.78456933,ROJAS,ROJAS,BUENOS AIRES
VILLA PARQUE CECIR,066860686060003,066860686060003,-34.1707176,-60.74383368,ROJAS,ROJAS,BUENOS AIRES
LA VERDE,066860686000017,066860686000017,-34.0764093,-60.9715417,ROJAS,ROJAS,BUENOS AIRES
SAN BASILIO,066860686000027,066860686000027,-34.4720436,-60.6832105,ROJAS,ROJAS,BUENOS AIRES
CALLE ANGOSTA,063010301000003,063010301000003,-35.83441,-58.47736003,GENERAL BELGRANO,GENERAL BELGRANO,BUENOS AIRES
NEWTON,063010301000013,063010301000013,-35.9302358,-58.7735013,GENERAL BELGRANO,GENERAL BELGRANO,BUENOS AIRES
SAN MARTIN,063010301000014,063010301000014,-35.8099286,-58.7384442,GENERAL BELGRANO,GENERAL BELGRANO,BUENOS AIRES
CHAS,063010301000004,063010301000004,-35.8738986,-58.5835485,GENERAL BELGRANO,GENERAL BELGRANO,BUENOS AIRES
GENERAL BELGRANO,063010301010000,063010301010000,-35.76945774,-58.49446151,GENERAL BELGRANO,GENERAL BELGRANO,BUENOS AIRES
LA VERDE,063010301000012,063010301000012,-35.7960497,-58.5902581,GENERAL BELGRANO,GENERAL BELGRANO,BUENOS AIRES
GORCHS,063010301020000,063010301020000,-35.67337296,-58.95829996,GENERAL BELGRANO,GENERAL BELGRANO,BUENOS AIRES
EL DESCANSO,063010301000006,063010301000006,-35.78064575,-58.49520841,GENERAL BELGRANO,GENERAL BELGRANO,BUENOS AIRES
COLONIA EL SALADO,063010301000005,063010301000005,-35.84859,-58.41628003,GENERAL BELGRANO,GENERAL BELGRANO,BUENOS AIRES
RUTA 5 KM 132,067840784000012,067840784000012,-34.80257307,-59.73577375,SUIPACHA,SUIPACHA,BUENOS AIRES
SUIPACHA,067840784020000,067840784020000,-34.77126178,-59.68791818,SUIPACHA,SUIPACHA,BUENOS AIRES
GENERAL RIVAS,067840784010000,067840784010000,-34.61003707,-59.75042342,SUIPACHA,SUIPACHA,BUENOS AIRES
LOS CARDALES,067840784000011,067840784000011,-34.8524384,-59.727194,SUIPACHA,SUIPACHA,BUENOS AIRES
CUARTEL VIII,067840784000005,067840784000005,-34.78294145,-59.55660668,SUIPACHA,SUIPACHA,BUENOS AIRES
ESTACION LA NEGRA,067840784000006,067840784000006,-34.6532056,-59.8279581,SUIPACHA,SUIPACHA,BUENOS AIRES
LA DULCE,067840784000008,067840784000008,-34.89617288,-59.61802006,SUIPACHA,SUIPACHA,BUENOS AIRES
CUARTEL IX,067840784000004,067840784000004,-34.8439555,-59.5955827,SUIPACHA,SUIPACHA,BUENOS AIRES
CUARTEL IV,067840784000003,067840784000003,-34.7224296,-59.7512909,SUIPACHA,SUIPACHA,BUENOS AIRES
GARRIDO,064760476000011,064760476000011,-37.84187661,-58.75523467,LOBERIA,LOBERIA,BUENOS AIRES
LAVALLE,064760476000033,064760476000033,-38.1041853,-58.9135956,LOBERIA,LOBERIA,BUENOS AIRES
EL EDEN,064760476000005,064760476000005,-38.06790543,-58.40255358,LOBERIA,LOBERIA,BUENOS AIRES
LA LOMA,064760476000023,064760476000023,-37.9713408,-58.5655521,LOBERIA,LOBERIA,BUENOS AIRES
PIERES,064760476040000,064760476040000,-38.39623062,-58.67058001,LOBERIA,LOBERIA,BUENOS AIRES
EL MORO,064760476000008,064760476000008,-38.10955893,-58.57453591,LOBERIA,LOBERIA,BUENOS AIRES
LA GUITARRA,064760476000020,064760476000020,-37.85134506,-59.00797273,LOBERIA,LOBERIA,BUENOS AIRES
NAPALEOFU,064760476000038,064760476000038,-37.62675583,-58.74992627,LOBERIA,LOBERIA,BUENOS AIRES
LA ALIANZA,064760476000014,064760476000014,-38.27775192,-58.56661226,LOBERIA,LOBERIA,BUENOS AIRES
SANTA MARIA,064760476000044,064760476000044,-38.2341558,-58.5681713,LOBERIA,LOBERIA,BUENOS AIRES
EL PAMPERO,064760476000009,064760476000009,-37.9636901,-58.6886606,LOBERIA,LOBERIA,BUENOS AIRES
PUERTA DEL DIABLO,064760476000041,064760476000041,-37.8398293,-58.5715713,LOBERIA,LOBERIA,BUENOS AIRES
LA FLORESTA,064760476000018,064760476000018,-38.1713501,-58.4334892,LOBERIA,LOBERIA,BUENOS AIRES
ARENAS VERDES,064760476010000,064760476010000,-38.54637824,-58.55732211,LOBERIA,LOBERIA,BUENOS AIRES
LA MALACARA,064760476000024,064760476000024,-38.2403704,-58.4298848,LOBERIA,LOBERIA,BUENOS AIRES
SAN PASCUAL,064760476000043,064760476000043,-38.4257932,-58.4589128,LOBERIA,LOBERIA,BUENOS AIRES
DOS NACIONES,064760476000003,064760476000003,-37.7714343,-58.6447231,LOBERIA,LOBERIA,BUENOS AIRES
SAN MANUEL,064760476050000,064760476050000,-37.7892829,-58.84864767,LOBERIA,LOBERIA,BUENOS AIRES
LA PROVIDENCIA,064760476000028,064760476000028,-37.94847107,-58.92501451,LOBERIA,LOBERIA,BUENOS AIRES
LAS TOSCAS,064760476000032,064760476000032,-38.3291054,-58.3463982,LOBERIA,LOBERIA,BUENOS AIRES
LAS NUTRIAS,064760476000031,064760476000031,-38.0791707,-58.4533151,LOBERIA,LOBERIA,BUENOS AIRES
LAHORE,064760476000030,064760476000030,-38.0559666,-58.9705728,LOBERIA,LOBERIA,BUENOS AIRES
TOME Y TRAIGA,064760476000045,064760476000045,-38.1158516,-58.8521239,LOBERIA,LOBERIA,BUENOS AIRES
LOBERIA,064760476030000,064760476030000,-38.16527339,-58.78223033,LOBERIA,LOBERIA,BUENOS AIRES
EL LENGUARAZ,064760476000006,064760476000006,-38.06705851,-58.85840957,LOBERIA,LOBERIA,BUENOS AIRES
LA BODEGA,064760476000015,064760476000015,-37.74117279,-58.93902588,LOBERIA,LOBERIA,BUENOS AIRES
TAMANGUEYU,064760476060000,064760476060000,-38.20101124,-58.7373144,LOBERIA,LOBERIA,BUENOS AIRES
LICENCIADO MATIENZO,064760476020000,064760476020000,-37.90979271,-58.91209659,LOBERIA,LOBERIA,BUENOS AIRES
SAN ANTONIO,064760476000042,064760476000042,-37.9550232,-59.0866501,LOBERIA,LOBERIA,BUENOS AIRES
MOROMAR,064760476000037,064760476000037,-38.4179912,-58.3813524,LOBERIA,LOBERIA,BUENOS AIRES
CAÑADA SECA,063920392020000,063920392020000,-34.41550546,-62.96185538,GENERAL VILLEGAS,GENERAL VILLEGAS,BUENOS AIRES
SAN GENARO,063920392000025,063920392000025,-34.7236644,-63.2305756,GENERAL VILLEGAS,GENERAL VILLEGAS,BUENOS AIRES
LOS LAURELES,063920392000023,063920392000023,-35.1243704,-62.8879677,GENERAL VILLEGAS,GENERAL VILLEGAS,BUENOS AIRES
MASSEY,063920392060000,063920392060000,-35.04908923,-63.12188768,GENERAL VILLEGAS,GENERAL VILLEGAS,BUENOS AIRES
ESTANCIA EL MERIDIANO,063920392000013,063920392000013,-35.221642,-63.3265828,GENERAL VILLEGAS,GENERAL VILLEGAS,BUENOS AIRES
GENERAL VILLEGAS,063920392050000,063920392050000,-35.03384199,-63.01466371,GENERAL VILLEGAS,GENERAL VILLEGAS,BUENOS AIRES
COLONIA LA BELITA,063920392000005,063920392000005,-34.7937801,-62.7583179,GENERAL VILLEGAS,GENERAL VILLEGAS,BUENOS AIRES
LA JOSEFA,063920392000018,063920392000018,-34.62654,-62.9779,GENERAL VILLEGAS,GENERAL VILLEGAS,BUENOS AIRES
GONDRA,063920392000016,063920392000016,-34.74862671,-63.35181046,GENERAL VILLEGAS,GENERAL VILLEGAS,BUENOS AIRES
VILLA CICLON,063920392000028,063920392000028,-35.02641345,-63.0245813,GENERAL VILLEGAS,GENERAL VILLEGAS,BUENOS AIRES
MOORES,063920392000024,063920392000024,-34.9561332,-62.9115124,GENERAL VILLEGAS,GENERAL VILLEGAS,BUENOS AIRES
CAMPOS FRIA,063920392000004,063920392000004,-34.8659429,-63.2990358,GENERAL VILLEGAS,GENERAL VILLEGAS,BUENOS AIRES
PICHINCHA,063920392070000,063920392070000,-34.58045167,-62.35163952,GENERAL VILLEGAS,GENERAL VILLEGAS,BUENOS AIRES
DRABBLE,063920392000007,063920392000007,-34.91954028,-62.7631617,GENERAL VILLEGAS,GENERAL VILLEGAS,BUENOS AIRES
EL RECAO,063920392000010,063920392000010,-35.0650802,-62.7519696,GENERAL VILLEGAS,GENERAL VILLEGAS,BUENOS AIRES
SAN JOSE,063920392000026,063920392000026,-35.2006073,-63.05029297,GENERAL VILLEGAS,GENERAL VILLEGAS,BUENOS AIRES
ESCUELA AGRARIA,063920392000011,063920392000011,-34.9939394,-63.036951,GENERAL VILLEGAS,GENERAL VILLEGAS,BUENOS AIRES
FORTIN REPUBLICA,063920392000014,063920392000014,-34.4937973,-63.30241776,GENERAL VILLEGAS,GENERAL VILLEGAS,BUENOS AIRES
LA MARGARITA,063920392000019,063920392000019,-34.4708095,-62.2909553,GENERAL VILLEGAS,GENERAL VILLEGAS,BUENOS AIRES
ESTACION MILLACO,063920392000012,063920392000012,-35.2372804,-62.9909231,GENERAL VILLEGAS,GENERAL VILLEGAS,BUENOS AIRES
VILLA SABOYA,063920392110000,063920392110000,-34.46079163,-62.64934446,GENERAL VILLEGAS,GENERAL VILLEGAS,BUENOS AIRES
EL DIA,063920392000009,063920392000009,-34.7401431,-62.8363789,GENERAL VILLEGAS,GENERAL VILLEGAS,BUENOS AIRES
CUARTEL II,063920392000006,063920392000006,-35.0480151,-62.9429754,GENERAL VILLEGAS,GENERAL VILLEGAS,BUENOS AIRES
CORONEL CHARLONE,063920392030000,063920392030000,-34.67299456,-63.37244548,GENERAL VILLEGAS,GENERAL VILLEGAS,BUENOS AIRES
PIEDRITAS,063920392080000,063920392080000,-34.77110454,-62.98469658,GENERAL VILLEGAS,GENERAL VILLEGAS,BUENOS AIRES
VILLA SAUZE,063920392120000,063920392120000,-35.28582982,-63.36820555,GENERAL VILLEGAS,GENERAL VILLEGAS,BUENOS AIRES
LA CATALINA,063920392000017,063920392000017,-34.98356,-63.1568703,GENERAL VILLEGAS,GENERAL VILLEGAS,BUENOS AIRES
SANTA ELEODORA,063920392090000,063920392090000,-34.69211801,-62.69579327,GENERAL VILLEGAS,GENERAL VILLEGAS,BUENOS AIRES
TAMBEROS UNIDOS,063920392000027,063920392000027,-34.5923089,-63.3831985,GENERAL VILLEGAS,GENERAL VILLEGAS,BUENOS AIRES
LOS ANGELES,063920392000021,063920392000021,-34.492135,-62.5510671,GENERAL VILLEGAS,GENERAL VILLEGAS,BUENOS AIRES
EMILIO V. BUNGE,063920392040000,063920392040000,-34.77983283,-63.19609649,GENERAL VILLEGAS,GENERAL VILLEGAS,BUENOS AIRES
BANDERALO,063920392010000,063920392010000,-35.01246666,-63.37415635,GENERAL VILLEGAS,GENERAL VILLEGAS,BUENOS AIRES
VOLTA,063920392000029,063920392000029,-34.96721041,-62.66179606,GENERAL VILLEGAS,GENERAL VILLEGAS,BUENOS AIRES
CAMPESINOS UNIDOS,063920392000002,063920392000002,-34.8579191,-63.1611931,GENERAL VILLEGAS,GENERAL VILLEGAS,BUENOS AIRES
SANTA REGINA,063920392100000,063920392100000,-34.54833566,-63.17327287,GENERAL VILLEGAS,GENERAL VILLEGAS,BUENOS AIRES
LA TRADICION,063920392000020,063920392000020,-34.434653,-63.2803744,GENERAL VILLEGAS,GENERAL VILLEGAS,BUENOS AIRES
CANNING,062600260010001,062600260010001,-34.88497914,-58.47780994,ESTEBAN ECHEVERRIA,ESTEBAN ECHEVERRIA,BUENOS AIRES
LUIS GUILLON,062600260010003,062600260010003,-34.80019644,-58.45309641,ESTEBAN ECHEVERRIA,ESTEBAN ECHEVERRIA,BUENOS AIRES
9 DE ABRIL,062600260010005,062600260010005,-34.75650758,-58.49029235,ESTEBAN ECHEVERRIA,ESTEBAN ECHEVERRIA,BUENOS AIRES
MONTE GRANDE,062600260010004,062600260010004,-34.81913686,-58.47269476,ESTEBAN ECHEVERRIA,ESTEBAN ECHEVERRIA,BUENOS AIRES
EL JAGUEL,062600260010002,062600260010002,-34.8304505,-58.49486942,ESTEBAN ECHEVERRIA,ESTEBAN ECHEVERRIA,BUENOS AIRES
LOS CERRILLOS,065470547000014,065470547000014,-35.70469676,-58.71156265,MONTE,MONTE,BUENOS AIRES
FUNKE,065470547000007,065470547000007,-35.4618454,-58.98197937,MONTE,MONTE,BUENOS AIRES
SAN MIGUEL DEL MONTE,065470547020000,065470547020000,-35.43916432,-58.80945984,MONTE,MONTE,BUENOS AIRES
LA ELINA,065470547000013,065470547000013,-35.3966223,-58.9963732,MONTE,MONTE,BUENOS AIRES
SAN GENARO,065470547000017,065470547000017,-35.61764526,-58.84848786,MONTE,MONTE,BUENOS AIRES
ABBOTT,065470547010000,065470547010000,-35.28250621,-58.80426191,MONTE,MONTE,BUENOS AIRES
SANTA MARIA,065470547000019,065470547000019,-35.5434312,-58.6674757,MONTE,MONTE,BUENOS AIRES
EL ROSARIO,065470547000004,065470547000004,-35.48086166,-58.80995178,MONTE,MONTE,BUENOS AIRES
EL SIASGO,065470547000005,065470547000005,-35.6888332,-58.5679214,MONTE,MONTE,BUENOS AIRES
ZENON VIDELA DORNA,065470547030000,065470547030000,-35.5447734,-58.88559119,MONTE,MONTE,BUENOS AIRES
GOYENECHE,065470547000008,065470547000008,-35.33557892,-58.72175598,MONTE,MONTE,BUENOS AIRES
SAN MARCELO,065470547000018,065470547000018,-35.4898149,-58.5680359,MONTE,MONTE,BUENOS AIRES
EL DORADO,065470547000003,065470547000003,-35.5785579,-58.9391774,MONTE,MONTE,BUENOS AIRES
LA COSTA,065470547000012,065470547000012,-35.50542465,-58.95341602,MONTE,MONTE,BUENOS AIRES
MAHON,065470547000016,065470547000016,-35.3743493,-58.692644,MONTE,MONTE,BUENOS AIRES
TRES LOMAS,060630063000049,060630063000049,-37.4085551,-58.1355794,BALCARCE,BALCARCE,BUENOS AIRES
EL PANTANOSO,060630063000015,060630063000015,-37.6301117,-58.06595996,BALCARCE,BALCARCE,BUENOS AIRES
SAN SILVERIO,060630063000045,060630063000045,-38.0435607,-58.1828041,BALCARCE,BALCARCE,BUENOS AIRES
LOS CARDOS,060630063000040,060630063000040,-37.73226229,-58.02960989,BALCARCE,BALCARCE,BUENOS AIRES
BALCARCE,060630063010000,060630063010000,-37.84827793,-58.25516658,BALCARCE,BALCARCE,BUENOS AIRES
LA SARA,060630063000036,060630063000036,-37.5477562,-58.21223452,BALCARCE,BALCARCE,BUENOS AIRES
EL GLIPTODONTE,060630063000012,060630063000012,-37.5886373,-57.9930625,BALCARCE,BALCARCE,BUENOS AIRES
TRES ESQUINAS,060630063000048,060630063000048,-37.9213463,-58.40084186,BALCARCE,BALCARCE,BUENOS AIRES
ALELUYA,060630063000001,060630063000001,-37.5739424,-58.6177189,BALCARCE,BALCARCE,BUENOS AIRES
BOSCH,060630063000003,060630063000003,-37.6488543,-58.2319235,BALCARCE,BALCARCE,BUENOS AIRES
COLONIA BALCARCE,060630063000007,060630063000007,-37.7549509,-58.3270049,BALCARCE,BALCARCE,BUENOS AIRES
SAN SIMON,060630063000046,060630063000046,-37.56184801,-58.55532285,BALCARCE,BALCARCE,BUENOS AIRES
BELLA VISTA,060630063000002,060630063000002,-37.89504121,-58.23709204,BALCARCE,BALCARCE,BUENOS AIRES
EL CAPRICHO,060630063000009,060630063000009,-37.857051,-58.3920838,BALCARCE,BALCARCE,BUENOS AIRES
